Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Kacem1;iterative;greedy;16;16,00;16;0,00;0;0,00;0;0,00
Kacem1;parallel;ACSV3;11;12,07;13;0,37;10;20,43;49;7,77
Kacem1;parallel;MMASV3;12;14,27;16;1,14;6;16,07;46;7,58
Kacem1;iterative;MMASV3;12;14,23;17;1,19;9;20,53;40;8,64
Kacem1;parallel;EASV3;11;12,53;15;1,01;9;14,50;51;7,38
Kacem1;iterative;EASV3;11;12,90;16;1,27;9;18,43;48;7,26
Kacem1;parallel;RBASV3;11;12,53;15;1,01;7;21,63;57;10,04
Kacem1;parallel;ASV3;11;12,60;16;1,16;6;13,73;38;5,72
Kacem1;iterative;ASV3;11;12,57;15;1,07;10;20,20;42;7,46
Kacem1;iterative;RBASV3;11;12,70;15;0,92;10;21,07;47;7,94
Kacem1;iterative;ACSV3;11;12,03;13;0,41;21;39,30;61;10,85
Kacem2;iterative;MMASV3;17;22,30;26;1,97;46;99,33;302;65,10
Kacem2;iterative;EASV3;14;15,87;18;0,90;50;115,17;396;74,27
Kacem2;iterative;RBASV3;13;15,57;19;1,52;50;128,33;346;76,24
Kacem2;iterative;greedy;22;22,00;22;0,00;0;0,00;0;0,00
Kacem2;parallel;MMASV3;19;22,10;26;1,73;28;70,43;207;42,32
Kacem2;iterative;ASV3;14;15,10;17;1,06;56;125,50;450;84,34
Kacem2;parallel;RBASV3;13;14,87;17;0,94;39;81,87;167;35,80
Kacem2;parallel;ASV3;13;14,90;18;1,24;27;79,20;170;33,17
Kacem2;parallel;EASV3;13;16,03;20;1,77;29;85,10;137;27,82
Kacem2;parallel;ACSV3;14;16,00;19;1,51;21;80,40;135;26,20
Kacem2;iterative;ACSV3;12;16,13;20;1,38;51;122,87;320;68,11
